timestamp,open,high,low,close,volume
2021-01-04,375.3100,375.4500,364.8200,368.7900,105357303
2020-12-31,365.5700,378.4600,362.0300,373.8800,1342397107
2020-11-30,330.2000,364.3800,327.2400,362.0600,1534447743
2020-10-30,337.6900,354.0200,322.6000,326.5400,1629408336
2020-09-30,350.2100,358.7500,319.8000,334.8900,1815146487
2020-08-31,328.3200,351.3000,327.7300,349.3100,1044798905
2020-07-31,309.5700,327.2300,309.0700,326.5200,1502719470
2020-06-30,303.6200,323.4100,296.7400,308.3600,2347940437
2020-05-29,285.3100,306.8400,272.9900,304.3200,1901783412
2020-04-30,247.9800,294.8800,243.9000,290.4800,2798273802
2020-03-31,298.2100,313.8400,218.2600,257.7500,5888710884
2020-02-28,323.3500,339.0800,285.5400,296.2600,2099672006
2020-01-31,323.5400,332.9500,320.3600,321.7300,1389179454
2019-12-31,314.5900,323.8000,307.1300,321.8600,1281220574
2019-11-29,304.9200,315.4800,304.7400,314.3100,1035047008
2019-10-31,297.7400,304.5500,284.8200,303.3300,1404743524
2019-09-30,290.5700,302.6300,289.2700,296.7700,1322797499
2019-08-30,297.6000,300.8700,281.7200,292.4500,2038348125
2019-07-31,296.6800,302.2300,294.3300,297.4300,1135591762
2019-06-28,275.3100,296.3100,273.0900,293.0000,1340435548
2019-05-31,294.7200,294.9500,275.2400,275.2700,1845593139
2019-04-30,284.7000,294.4500,284.4000,294.0200,1209204906
2019-03-29,280.4400,285.1800,272.4200,282.4800,1678081316
2019-02-28,270.1500,281.3100,267.8300,278.6800,1371716235
2019-01-31,245.9800,270.4700,243.6700,269.9300,2048691645
2018-12-31,280.2800,280.4000,233.7600,249.9200,3102621849
2018-11-30,271.6000,281.2200,263.0700,275.6500,2021061342
2018-10-31,292.1100,293.2100,259.8500,270.6300,3024346032
2018-09-28,289.8400,293.9400,286.7100,290.7200,1228083461
2018-08-31,281.5600,291.7400,279.1600,290.3100,1308443632
2018-07-31,269.5100,284.3700,269.2400,281.3300,1266961027
2018-06-29,272.4100,279.4800,268.4900,271.2800,1600700314
2018-05-31,263.8700,274.2500,259.0500,270.9400,1606397329
2018-04-30,262.5500,271.3000,254.6700,264.5100,2000427231
